"department","total_count","terminated_count","termination_rate"
"Auditing","50","8","0.16"
"Legal","299","39","0.13"
"Training","1622","188","0.12"
"Sales","1745","187","0.11"
"Engineering","6387","683","0.11"
"Services","1618","171","0.11"
"Human Resources","1727","190","0.11"
"Accounting","3192","347","0.11"
"Research and Development","1032","114","0.11"
"Product Management","623","66","0.11"
"Support","903","92","0.10"
"Marketing","480","43","0.09"
"Business Development","1569","146","0.09"
